[Train] Epoch 0099 | Total Loss 1.722495 | Image Acc 35.609756 | Text Acc 35.707317
[Train] Epoch 0100 | Total Loss 1.713100 | Image Acc 35.804878 | Text Acc 35.804878
[Train] Epoch 0101 | Total Loss 1.715458 | Image Acc 35.073171 | Text Acc 35.073171
[Train] Epoch 0102 | Total Loss 1.713181 | Image Acc 35.756098 | Text Acc 35.756098
[Train] Epoch 0103 | Total Loss 1.708819 | Image Acc 35.390244 | Text Acc 35.439024
[Train] Epoch 0104 | Total Loss 1.711759 | Image Acc 35.170732 | Text Acc 35.195122
[Train] Epoch 0105 | Total Loss 1.718899 | Image Acc 35.634146 | Text Acc 35.682927
[Train] Epoch 0106 | Total Loss 1.704299 | Image Acc 35.975610 | Text Acc 36.000000
[Train] Epoch 0107 | Total Loss 1.699503 | Image Acc 35.829268 | Text Acc 35.853659
[Train] Epoch 0108 | Total Loss 1.715201 | Image Acc 35.756098 | Text Acc 35.829268
[Train] Epoch 0109 | Total Loss 1.724880 | Image Acc 35.170732 | Text Acc 35.341463
[Train] Epoch 0110 | Total Loss 1.706251 | Image Acc 36.024390 | Text Acc 36.097561
[Train] Epoch 0111 | Total Loss 1.727743 | Image Acc 35.756098 | Text Acc 35.804878
[Train] Epoch 0112 | Total Loss 1.714585 | Image Acc 35.390244 | Text Acc 35.390244
[Train] Epoch 0113 | Total Loss 1.705156 | Image Acc 35.682927 | Text Acc 35.682927
[Train] Epoch 0114 | Total Loss 1.715779 | Image Acc 35.390244 | Text Acc 35.439024
[Train] Epoch 0115 | Total Loss 1.703043 | Image Acc 35.926829 | Text Acc 35.878049
[Train] Epoch 0116 | Total Loss 1.711715 | Image Acc 35.292683 | Text Acc 35.268293
[Train] Epoch 0117 | Total Loss 1.707261 | Image Acc 35.829268 | Text Acc 35.878049
[Train] Epoch 0118 | Total Loss 1.716624 | Image Acc 35.219512 | Text Acc 35.219512
[Train] Epoch 0119 | Total Loss 1.711814 | Image Acc 35.731707 | Text Acc 35.853659
[Train] Epoch 0120 | Total Loss 1.716619 | Image Acc 35.463415 | Text Acc 35.512195
[Train] Epoch 0121 | Total Loss 1.718641 | Image Acc 35.951220 | Text Acc 35.951220
[Train] Epoch 0122 | Total Loss 1.719008 | Image Acc 35.170732 | Text Acc 35.341463
[Train] Epoch 0123 | Total Loss 1.723202 | Image Acc 35.390244 | Text Acc 35.414634
[Train] Epoch 0124 | Total Loss 1.718247 | Image Acc 35.536585 | Text Acc 35.512195
[Train] Epoch 0125 | Total Loss 1.704233 | Image Acc 36.195122 | Text Acc 36.195122
[Train] Epoch 0126 | Total Loss 1.701424 | Image Acc 36.097561 | Text Acc 36.073171
[Train] Epoch 0127 | Total Loss 1.713119 | Image Acc 35.439024 | Text Acc 35.463415
[Train] Epoch 0128 | Total Loss 1.714317 | Image Acc 35.609756 | Text Acc 35.707317
[Train] Epoch 0129 | Total Loss 1.717238 | Image Acc 35.756098 | Text Acc 35.731707
[Train] Epoch 0130 | Total Loss 1.718301 | Image Acc 35.756098 | Text Acc 35.780488
[Train] Epoch 0131 | Total Loss 1.720242 | Image Acc 35.487805 | Text Acc 35.536585
[Train] Epoch 0132 | Total Loss 1.708096 | Image Acc 35.878049 | Text Acc 35.975610
[Train] Epoch 0133 | Total Loss 1.714493 | Image Acc 35.731707 | Text Acc 35.707317
[Train] Epoch 0134 | Total Loss 1.716208 | Image Acc 35.243902 | Text Acc 35.219512
[Train] Epoch 0135 | Total Loss 1.705702 | Image Acc 35.609756 | Text Acc 35.609756
[Train] Epoch 0136 | Total Loss 1.706871 | Image Acc 35.634146 | Text Acc 35.634146
[Train] Epoch 0137 | Total Loss 1.705824 | Image Acc 35.439024 | Text Acc 35.439024
[Train] Epoch 0138 | Total Loss 1.717874 | Image Acc 35.317073 | Text Acc 35.317073
[Train] Epoch 0139 | Total Loss 1.705032 | Image Acc 35.853659 | Text Acc 35.878049
[Train] Epoch 0140 | Total Loss 1.716416 | Image Acc 35.463415 | Text Acc 35.512195
[Train] Epoch 0141 | Total Loss 1.716450 | Image Acc 35.390244 | Text Acc 35.390244
[Train] Epoch 0142 | Total Loss 1.703929 | Image Acc 35.731707 | Text Acc 35.707317
[Train] Epoch 0143 | Total Loss 1.717658 | Image Acc 35.268293 | Text Acc 35.243902
[Train] Epoch 0144 | Total Loss 1.716320 | Image Acc 35.317073 | Text Acc 35.292683
[Train] Epoch 0145 | Total Loss 1.711525 | Image Acc 35.609756 | Text Acc 35.658537
[Train] Epoch 0146 | Total Loss 1.716293 | Image Acc 35.439024 | Text Acc 35.487805
[Train] Epoch 0147 | Total Loss 1.699566 | Image Acc 36.000000 | Text Acc 36.097561
[Train] Epoch 0148 | Total Loss 1.716448 | Image Acc 35.560976 | Text Acc 35.707317
[Train] Epoch 0149 | Total Loss 1.707494 | Image Acc 35.780488 | Text Acc 35.731707
[Train] Epoch 0150 | Total Loss 1.701314 | Image Acc 35.609756 | Text Acc 35.609756
[Train] Epoch 0151 | Total Loss 1.705759 | Image Acc 35.902439 | Text Acc 35.902439
[Train] Epoch 0152 | Total Loss 1.706324 | Image Acc 35.463415 | Text Acc 35.463415
[Train] Epoch 0153 | Total Loss 1.706796 | Image Acc 35.804878 | Text Acc 35.804878
[Train] Epoch 0154 | Total Loss 1.712242 | Image Acc 34.951220 | Text Acc 34.975610
[Train] Epoch 0155 | Total Loss 1.715728 | Image Acc 35.195122 | Text Acc 35.268293
[Train] Epoch 0156 | Total Loss 1.728469 | Image Acc 35.243902 | Text Acc 35.268293
[Train] Epoch 0157 | Total Loss 1.717492 | Image Acc 36.292683 | Text Acc 36.317073
[Train] Epoch 0158 | Total Loss 1.709113 | Image Acc 35.951220 | Text Acc 35.975610
[Train] Epoch 0159 | Total Loss 1.712231 | Image Acc 35.682927 | Text Acc 35.682927
[Train] Epoch 0160 | Total Loss 1.708773 | Image Acc 35.975610 | Text Acc 35.975610
[Train] Epoch 0161 | Total Loss 1.726976 | Image Acc 35.609756 | Text Acc 35.609756
[Train] Epoch 0162 | Total Loss 1.690515 | Image Acc 36.195122 | Text Acc 36.170732
